esac_id_unique,institution_name,ror_id,institution_first_seen,institution_last_seen
compbio2021eifl,All Nations University,https://ror.org/00cdwva22,2023-01-18,NA
compbio2021eifl,Ashesi University,https://ror.org/028kehd60,2023-01-18,NA
compbio2021eifl,Bank of Ghana Library,NA,2023-01-18,NA
compbio2021eifl,Cape Coast Technical University,https://ror.org/002mzw222,2023-01-18,NA
compbio2021eifl,Catholic University College of Ghana,https://ror.org/0502vxg14,2023-01-18,NA
compbio2021eifl,Central University College,https://ror.org/037732v94,2023-01-18,NA
compbio2021eifl,Christian Service University College,https://ror.org/05r8bzv42,2023-01-18,NA
compbio2021eifl,Data Link Institute,https://ror.org/05svjc560,2023-01-18,NA
compbio2021eifl,ECG Training Centre Library,NA,2023-01-18,NA
compbio2021eifl,Entrance University College of Health Sciences,NA,2023-01-18,NA
compbio2021eifl,Garden City University College,https://ror.org/05s76vp15,2023-01-18,NA
compbio2021eifl,Ghana Armed Forces Command & Staff College,https://ror.org/0437cyz88,2023-01-18,NA
